MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
198,0,1.614,0.441,24.437,1.845,1.42,-0.253,1.35,6.59,1.405,1.062,0.8582,791.122,1.173,6.956,2.932,4.817,1.44,1.094,0.027,0.75,1.079,0.099,0.803,13.122,5.917,0.541,1.65
199,0,1.543,0.817,29.569,1.787,1.473,-0.224,1.35,6.59,1.349,1.065,0.6259,1929.628,1.823,7.26,3.544,4.671,1.44,1.123,0.018,0.718,1.053,0.074,0.814,15.115,5.917,0.517,1.65
200,0,1.476,0.326,28.032,1.701,1.363,-0.152,1.35,6.59,1.424,1.087,0.811,938.55,0.308,7.048,2.716,7.029,1.562,1.086,0.024,1.043,1.119,0.046,0.81,12.047,5.917,0.558,1.65
1,1,1.716,0.99,41.317,2.063,1.557,-0.1,4.85,10.63,1.517,0.934,0.8007,788.323,-0.872,9.556,4.444,4.234,1.634,1.346,0.089,1.214,0.994,0.028,0.862,18.931,4.724,0.586,1.54
2,1,1.691,0.971,44.801,2.003,1.615,-0.116,4.85,10.63,1.528,0.957,0.6301,1265.089,-1.169,9.572,4.274,4.173,1.633,1.319,0.069,1.348,0.924,0.015,0.876,19.384,4.724,0.578,1.54
3,1,1.717,1.178,40.081,2.075,1.681,-0.157,4.85,10.63,1.509,0.918,0.6926,1027.625,-0.297,9.56,4.524,4.303,1.58,1.292,0.077,1.038,0.869,0.028,0.879,24.209,4.724,0.563,1.54
4,1,1.715,1.451,45.213,2.076,1.762,-0.151,4.85,10.63,1.417,0.898,0.5323,2334.811,1.285,9.586,5.22,4.263,1.58,1.334,0.052,0.887,0.826,0.026,0.869,25.138,4.723,0.532,1.54
5,1,1.699,0.786,43.05,2.118,1.775,-0.123,4.85,10.63,1.48,0.951,0.6701,1264.44,-0.068,9.572,4.682,4.249,1.635,1.343,0.068,1.132,0.905,0.032,0.883,19.321,4.724,0.555,1.54
6,1,1.688,0.782,45.733,2.045,1.61,-0.122,4.85,10.63,1.476,0.922,0.6538,1299.94,-0.22,9.571,4.896,4.282,1.635,1.301,0.068,0.913,0.899,0.018,0.893,19.354,4.723,0.556,1.54
7,1,1.719,1.132,43.242,2.163,1.802,-0.124,4.85,10.63,1.419,0.977,0.658,1633.396,1.358,9.575,5.689,4.235,1.633,1.366,0.063,0.919,0.927,0.037,0.882,19.299,4.725,0.53,1.54
8,1,1.693,1.046,47.871,2.113,1.766,-0.114,4.85,10.63,1.408,0.914,0.5419,2450.578,1.358,9.592,5.304,4.252,1.635,1.353,0.05,0.888,0.857,0.028,0.862,20.193,4.723,0.531,1.54
9,1,1.75,0.892,40.087,2.192,1.78,-0.133,4.85,10.63,1.522,1.03,0.7633,1026.583,-1.003,9.563,4.561,4.251,1.635,1.409,0.077,1.257,0.96,0.015,0.911,19.403,4.723,0.572,1.54
